id,nome,siglaPartido,siglaUf,urlFoto
204379,Acácio Favacho,MDB,AP,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg
220714,Adail Filho,REPUBLICANOS,AM,https://www.camara.leg.br/internet/deputado/bandep/220714.jpg
221328,Adilson Barroso,PL,SP,https://www.camara.leg.br/internet/deputado/bandep/221328.jpg
204560,Adolfo Viana,PSDB,BA,https://www.camara.leg.br/internet/deputado/bandep/204560.jpg
204528,Adriana Ventura,NOVO,SP,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg
121948,Adriano do Baldy,PP,GO,https://www.camara.leg.br/internet/deputado/bandep/121948.jpg
74646,Aécio Neves,PSDB,MG,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg
136811,Afonso Hamm,PP,RS,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg
178835,Afonso Motta,PDT,RS,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
160527,Aguinaldo Ribeiro,PP,PB,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
204495,Airton Faleiro,PT,PA,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg
204549,AJ Albuquerque,PP,CE,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
73579,Alberto Fraga,PL,DF,https://www.camara.leg.br/internet/deputado/bandep/73579.jpg
220538,Albuquerque,REPUBLICANOS,RR,https://www.camara.leg.br/internet/deputado/bandep/220538.jpg
160559,Alceu Moreira,MDB,RS,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
204501,Alencar Santana,PT,SP,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
178972,Alex Manente,CIDADANIA,SP,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg
204571,Alex Santana,REPUBLICANOS,BA,https://www.camara.leg.br/internet/deputado/bandep/204571.jpg
220542,Alexandre Guimarães,MDB,TO,https://www.camara.leg.br/internet/deputado/bandep/220542.jpg
220554,Alexandre Lindenmeyer,PT,RS,https://www.camara.leg.br/internet/deputado/bandep/220554.jpg
221148,Alfredinho,PT,SP,https://www.camara.leg.br/internet/deputado/bandep/221148.jpg
220576,Alfredo Gaspar,UNIÃO,AL,https://www.camara.leg.br/internet/deputado/bandep/220576.jpg
74057,Alice Portugal,PCdoB,BA,https://www.camara.leg.br/internet/deputado/bandep/74057.jpg
178927,Aliel Machado,PV,PR,https://www.camara.leg.br/internet/deputado/bandep/178927.jpg
204353,Aline Gurgel,REPUBLICANOS,AP,https://www.camara.leg.br/internet/deputado/bandep/204353.jpg
226708,Allan Garcês,PP,MA,https://www.camara.leg.br/internet/deputado/bandep/226708.jpg
178937,Altineu Côrtes,PL,RJ,https://www.camara.leg.br/internet/deputado/bandep/178937.jpg
178881,Aluisio Mendes,REPUBLICANOS,MA,https://www.camara.leg.br/internet/deputado/bandep/178881.jpg
220707,Amanda Gentil,PP,MA,https://www.camara.leg.br/internet/deputado/bandep/220707.jpg
204356,Amaro Neto,REPUBLICANOS,ES,https://www.camara.leg.br/internet/deputado/bandep/204356.jpg
220715,Amom Mandel,CIDADANIA,AM,https://www.camara.leg.br/internet/deputado/bandep/220715.jpg
107970,Ana Paula Leão,PP,MG,https://www.camara.leg.br/internet/deputado/bandep/107970.jpg
220556,Ana Paula Lima,PT,SC,https://www.camara.leg.br/internet/deputado/bandep/220556.jpg
220632,Ana Pimentel,PT,MG,https://www.camara.leg.br/internet/deputado/bandep/220632.jpg
178831,André Abdon,PP,AP,https://www.camara.leg.br/internet/deputado/bandep/178831.jpg
220657,André Fernandes,PL,CE,https://www.camara.leg.br/internet/deputado/bandep/220657.jpg
204423,André Ferreira,PL,PE,https://www.camara.leg.br/internet/deputado/bandep/204423.jpg
133439,André Figueiredo,PDT,CE,https://www.camara.leg.br/internet/deputado/bandep/133439.jpg
220676,Andreia Siqueira,MDB,PA,https://www.camara.leg.br/internet/deputado/bandep/220676.jpg
123756,Antônia Lúcia,REPUBLICANOS,AC,https://www.camara.leg.br/internet/deputado/bandep/123756.jpg
220544,Antonio Andrade,REPUBLICANOS,TO,https://www.camara.leg.br/internet/deputado/bandep/220544.jpg
160553,Antonio Brito,PSD,BA,https://www.camara.leg.br/internet/deputado/bandep/160553.jpg
220638,Antonio Carlos Rodrigues,PL,SP,https://www.camara.leg.br/internet/deputado/bandep/220638.jpg
220675,Antônio Doido,MDB,PA,https://www.camara.leg.br/internet/deputado/bandep/220675.jpg
220549,Any Ortiz,CIDADANIA,RS,https://www.camara.leg.br/internet/deputado/bandep/220549.jpg
73433,Arlindo Chinaglia,PT,SP,https://www.camara.leg.br/internet/deputado/bandep/73433.jpg
141391,Arnaldo Jardim,CIDADANIA,SP,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
160541,Arthur Lira,PP,AL,https://www.camara.leg.br/internet/deputado/bandep/160541.jpg
160600,Arthur Oliveira Maia,UNIÃO,BA,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg
74090,Átila Lins,PSD,AM,https://www.camara.leg.br/internet/deputado/bandep/74090.jpg
123086,Átila Lira,PP,PI,https://www.camara.leg.br/internet/deputado/bandep/123086.jpg
160665,Augusto Coutinho,REPUBLICANOS,PE,https://www.camara.leg.br/internet/deputado/bandep/160665.jpg
